combination_id	allele_frequency	effect_size	sample_size	case_control_ratio	simulation_repetition	causal_variant	n_cases_sim	n_controls_sim	n_missing_sim	variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
WDHHWIZPRABF_1	0.01	1.5	200	0.5	1	aadE	99	99	564	aadE	5.05E-03	3.16E-01	3.19E-01	5.03E-01	5.03E-01	7.12E-02	bad-chisq
WDHHWIZPRABF_2	0.01	1.5	200	0.5	2	aadE	99	99	564	aadE	5.05E-03	3.16E-01	3.19E-01	5.03E-01	5.03E-01	7.12E-02	bad-chisq
WDHHWIZPRABF_3	0.01	1.5	200	0.5	3	aadE	99	99	564	aadE	5.05E-03	3.16E-01	3.31E-01	4.89E-01	5.02E-01	6.95E-02	bad-chisq
WDHHWIZPRABF_4	0.01	1.5	200	0.5	4	aadE	99	99	564	aadE	5.05E-03	3.16E-01	3.19E-01	5.03E-01	5.03E-01	7.12E-02	bad-chisq
WDHHWIZPRABF_5	0.01	1.5	200	0.5	5	aadE	99	99	564	aadE	5.05E-03	3.16E-01	3.19E-01	5.03E-01	5.03E-01	7.12E-02	bad-chisq
WDHHWIZPRABF_6	0.01	1.5	200	0.5	6	aadE	99	99	564	aadE	5.05E-03	3.16E-01	3.19E-01	5.03E-01	5.03E-01	7.12E-02	bad-chisq
WDHHWIZPRABF_7	0.01	1.5	200	0.5	7	aadE	99	99	564	aadE	5.05E-03	3.16E-01	3.49E-01	4.70E-01	5.01E-01	6.69E-02	bad-chisq
WDHHWIZPRABF_8	0.01	1.5	200	0.5	8	aadE	99	99	564	aadE	5.05E-03	3.16E-01	3.19E-01	5.03E-01	5.03E-01	7.12E-02	bad-chisq
WDHHWIZPRABF_9	0.01	1.5	200	0.5	9	aadE	99	99	564	aadE	5.05E-03	3.16E-01	2.60E-01	5.65E-01	5.01E-01	8.04E-02	bad-chisq
WDHHWIZPRABF_10	0.01	1.5	200	0.5	10	aadE	99	99	564	aadE	5.05E-03	3.16E-01	3.19E-01	5.03E-01	5.03E-01	7.12E-02	bad-chisq
HCUMFXSARHOE_1	0.01	1.5	400	0.5	1	aadE	199	199	364	aadE	7.54E-03	5.62E-01	5.63E-01	1.68E-01	2.90E-01	2.91E-02	bad-chisq
HCUMFXSARHOE_2	0.01	1.5	400	0.5	2	aadE	199	199	364	aadE	7.54E-03	5.62E-01	5.63E-01	1.68E-01	2.90E-01	2.90E-02	bad-chisq
HCUMFXSARHOE_3	0.01	1.5	400	0.5	3	aadE	199	199	364	aadE	7.54E-03	5.62E-01	5.75E-01	1.63E-01	2.91E-01	2.82E-02	bad-chisq
HCUMFXSARHOE_4	0.01	1.5	400	0.5	4	aadE	199	199	364	aadE	7.54E-03	5.62E-01	5.18E-01	1.88E-01	2.90E-01	3.25E-02	bad-chisq
HCUMFXSARHOE_5	0.01	1.5	400	0.5	5	aadE	199	199	364	aadE	7.54E-03	5.62E-01	4.55E-01	2.18E-01	2.91E-01	3.76E-02	bad-chisq
HCUMFXSARHOE_6	0.01	1.5	400	0.5	6	aadE	199	199	364	aadE	7.54E-03	5.62E-01	5.63E-01	1.68E-01	2.90E-01	2.90E-02	bad-chisq
HCUMFXSARHOE_7	0.01	1.5	400	0.5	7	aadE	199	199	364	aadE	7.54E-03	5.62E-01	5.63E-01	1.68E-01	2.90E-01	2.90E-02	bad-chisq
HCUMFXSARHOE_8	0.01	1.5	400	0.5	8	aadE	199	199	364	aadE	7.54E-03	5.62E-01	5.63E-01	1.68E-01	2.90E-01	2.90E-02	bad-chisq
HCUMFXSARHOE_9	0.01	1.5	400	0.5	9	aadE	199	199	364	aadE	7.54E-03	5.62E-01	4.78E-01	2.08E-01	2.92E-01	3.57E-02	bad-chisq
HCUMFXSARHOE_10	0.01	1.5	400	0.5	10	aadE	199	199	364	aadE	7.54E-03	5.62E-01	5.63E-01	1.68E-01	2.90E-01	2.90E-02	bad-chisq
UGUEEFFIKWIK_1	0.01	1.5	600	0.5	1	aadE	198	299	265	aadE	4.02E-03	7.69E-01	7.69E-01	1.02E-01	3.48E-01	1.32E-02	bad-chisq
UGUEEFFIKWIK_2	0.01	1.5	600	0.5	2	aadE	198	299	265	aadE	4.02E-03	7.69E-01	7.69E-01	1.02E-01	3.48E-01	1.32E-02	bad-chisq
UGUEEFFIKWIK_3	0.01	1.5	600	0.5	3	aadE	198	299	265	aadE	4.02E-03	7.69E-01	7.69E-01	1.02E-01	3.48E-01	1.32E-02	bad-chisq
UGUEEFFIKWIK_4	0.01	1.5	600	0.5	4	aadE	198	299	265	aadE	4.02E-03	7.69E-01	8.29E-01	7.49E-02	3.47E-01	9.71E-03	bad-chisq
UGUEEFFIKWIK_5	0.01	1.5	600	0.5	5	aadE	198	299	265	aadE	4.02E-03	7.69E-01	7.69E-01	1.02E-01	3.48E-01	1.32E-02	bad-chisq
UGUEEFFIKWIK_6	0.01	1.5	600	0.5	6	aadE	198	299	265	aadE	4.02E-03	7.69E-01	8.43E-01	6.89E-02	3.48E-01	8.91E-03	bad-chisq
UGUEEFFIKWIK_7	0.01	1.5	600	0.5	7	aadE	198	299	265	aadE	4.02E-03	7.69E-01	7.69E-01	1.02E-01	3.48E-01	1.32E-02	bad-chisq
UGUEEFFIKWIK_8	0.01	1.5	600	0.5	8	aadE	198	299	265	aadE	4.02E-03	7.69E-01	7.69E-01	1.02E-01	3.48E-01	1.32E-02	bad-chisq
UGUEEFFIKWIK_9	0.01	1.5	600	0.5	9	aadE	198	299	265	aadE	4.02E-03	7.69E-01	7.17E-01	1.26E-01	3.47E-01	1.63E-02	bad-chisq
UGUEEFFIKWIK_10	0.01	1.5	600	0.5	10	aadE	198	299	265	aadE	4.02E-03	7.69E-01	6.30E-01	1.67E-01	3.47E-01	2.17E-02	bad-chisq
WZPVHBIBMVNF_1	0.01	1.5	700	0.5	1	aadE	148	349	265	aadE	4.02E-03	5.31E-01	5.32E-01	2.03E-01	3.25E-01	2.81E-02	bad-chisq
WZPVHBIBMVNF_2	0.01	1.5	700	0.5	2	aadE	148	349	265	aadE	4.02E-03	5.31E-01	5.32E-01	2.03E-01	3.25E-01	2.81E-02	bad-chisq
WZPVHBIBMVNF_3	0.01	1.5	700	0.5	3	aadE	148	349	265	aadE	4.02E-03	5.31E-01	5.32E-01	2.03E-01	3.25E-01	2.81E-02	bad-chisq
WZPVHBIBMVNF_4	0.01	1.5	700	0.5	4	aadE	148	349	265	aadE	4.02E-03	5.31E-01	5.32E-01	2.03E-01	3.25E-01	2.81E-02	bad-chisq
WZPVHBIBMVNF_5	0.01	1.5	700	0.5	5	aadE	148	349	265	aadE	4.02E-03	5.31E-01	5.32E-01	2.03E-01	3.25E-01	2.81E-02	bad-chisq
