combination_id	allele_frequency	effect_size	sample_size	case_control_ratio	simulation_repetition	causal_variant	n_cases_sim	n_controls_sim	n_missing_sim	variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
GBJXZENDXBKL_1	0.01	1.5	100	0.5	1	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.79E-01	4.44E-01	5.02E-01	8.99E-02	bad-chisq
GBJXZENDXBKL_2	0.01	1.5	100	0.5	2	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.20E-01	-5.05E-01	5.05E-01	1.02E-01	bad-chisq
GBJXZENDXBKL_3	0.01	1.5	100	0.5	3	gene1945	49	49	1042	gene1945	3.06E-02	7.85E-02	1.18E-01	5.36E-01	3.40E-01	1.59E-01	bad-chisq
GBJXZENDXBKL_4	0.01	1.5	100	0.5	4	gene1945	49	49	1042	gene1945	3.06E-02	5.58E-01	5.62E-01	-1.72E-01	2.96E-01	5.92E-02	bad-chisq
GBJXZENDXBKL_5	0.01	1.5	100	0.5	5	gene1945	49	49	1042	gene1945	2.04E-02	1.53E-01	1.91E-01	-4.44E-01	3.37E-01	1.33E-01	bad-chisq
GBJXZENDXBKL_6	0.01	1.5	100	0.5	6	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.20E-01	5.05E-01	5.05E-01	1.02E-01	bad-chisq
GBJXZENDXBKL_7	0.01	1.5	100	0.5	7	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.20E-01	-5.05E-01	5.05E-01	1.02E-01	bad-chisq
GBJXZENDXBKL_8	0.01	1.5	100	0.5	8	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.20E-01	5.05E-01	5.05E-01	1.02E-01	bad-chisq
GBJXZENDXBKL_9	0.01	1.5	100	0.5	9	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.20E-01	5.05E-01	5.05E-01	1.02E-01	bad-chisq
GBJXZENDXBKL_10	0.01	1.5	100	0.5	10	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.30E-01	4.86E-01	4.96E-01	9.94E-02	bad-chisq
VKBJWNKJZHTA_2	0.01	1.5	200	0.5	2	gene1945	99	99	942	gene1945	2.02E-02	4.33E-02	4.36E-02	5.10E-01	2.51E-01	1.44E-01	bad-chisq
VKBJWNKJZHTA_3	0.01	1.5	200	0.5	3	gene1945	99	99	942	gene1945	4.04E-02	4.70E-01	4.73E-01	1.30E-01	1.81E-01	5.13E-02	bad-chisq
VKBJWNKJZHTA_4	0.01	1.5	200	0.5	4	gene1945	99	99	942	gene1945	3.54E-02	2.48E-01	2.68E-01	2.14E-01	1.93E-01	7.90E-02	bad-chisq
VKBJWNKJZHTA_5	0.01	1.5	200	0.5	5	gene1945	99	99	942	gene1945	5.05E-03	3.16E-01	3.00E-01	5.17E-01	4.97E-01	7.41E-02	bad-chisq
VKBJWNKJZHTA_6	0.01	1.5	200	0.5	6	gene1945	99	99	942	gene1945	2.53E-02	6.51E-01	6.24E-01	1.12E-01	2.29E-01	3.50E-02	bad-chisq
VKBJWNKJZHTA_7	0.01	1.5	200	0.5	7	gene1945	99	99	942	gene1945	1.52E-02	8.09E-02	8.35E-02	5.05E-01	2.90E-01	1.23E-01	bad-chisq
VKBJWNKJZHTA_8	0.01	1.5	200	0.5	8	gene1945	99	99	942	gene1945	2.02E-02	4.33E-02	7.48E-02	4.60E-01	2.57E-01	1.27E-01	bad-chisq
VKBJWNKJZHTA_9	0.01	1.5	200	0.5	9	gene1945	99	99	942	gene1945	3.03E-02	4.07E-01	4.00E-01	1.75E-01	2.08E-01	6.02E-02	bad-chisq
VKBJWNKJZHTA_10	0.01	1.5	200	0.5	10	gene1945	99	99	942	gene1945	3.03E-02	4.07E-01	4.10E-01	-1.72E-01	2.08E-01	5.89E-02	bad-chisq
ZIYVUFTFRHSK_1	0.01	1.5	300	0.5	1	gene1945	149	149	842	gene1945	2.68E-02	1.52E-01	1.70E-01	2.51E-01	1.82E-01	7.97E-02
ZIYVUFTFRHSK_2	0.01	1.5	300	0.5	2	gene1945	149	149	842	gene1945	2.35E-02	7.02E-01	7.03E-01	7.31E-02	1.92E-01	2.22E-02	bad-chisq
ZIYVUFTFRHSK_3	0.01	1.5	300	0.5	3	gene1945	149	149	842	gene1945	2.68E-02	4.74E-01	4.75E-01	-1.28E-01	1.80E-01	4.15E-02	bad-chisq
ZIYVUFTFRHSK_5	0.01	1.5	300	0.5	5	gene1945	149	149	842	gene1945	2.68E-02	1.52E-01	1.51E-01	-2.60E-01	1.80E-01	8.34E-02
ZIYVUFTFRHSK_6	0.01	1.5	300	0.5	6	gene1945	149	149	842	gene1945	2.35E-02	2.51E-01	2.79E-01	-2.09E-01	1.93E-01	6.29E-02	bad-chisq
ZIYVUFTFRHSK_7	0.01	1.5	300	0.5	7	gene1945	149	149	842	gene1945	2.01E-02	4.09E-01	2.45E-01	2.54E-01	2.18E-01	6.75E-02	bad-chisq
ZIYVUFTFRHSK_8	0.01	1.5	300	0.5	8	gene1945	149	149	842	gene1945	1.68E-02	1.76E-01	1.77E-01	3.05E-01	2.26E-01	7.84E-02	bad-chisq
ZIYVUFTFRHSK_9	0.01	1.5	300	0.5	9	gene1945	149	149	842	gene1945	2.35E-02	7.02E-01	7.17E-01	6.98E-02	1.92E-01	2.11E-02	bad-chisq
ZIYVUFTFRHSK_10	0.01	1.5	300	0.5	10	gene1945	149	149	842	gene1945	2.68E-02	4.74E-01	3.92E-01	-1.55E-01	1.80E-01	4.98E-02	bad-chisq
NHMWOGOJDOJT_1	0.01	1.5	400	0.5	1	gene1945	199	199	742	gene1945	2.51E-02	5.22E-01	5.23E-01	1.03E-01	1.60E-01	3.21E-02
NHMWOGOJDOJT_2	0.01	1.5	400	0.5	2	gene1945	199	199	742	gene1945	3.27E-02	3.98E-01	3.99E-01	1.19E-01	1.41E-01	4.24E-02
NHMWOGOJDOJT_3	0.01	1.5	400	0.5	3	gene1945	199	199	742	gene1945	2.26E-02	9.18E-02	9.23E-02	2.84E-01	1.68E-01	8.45E-02
NHMWOGOJDOJT_4	0.01	1.5	400	0.5	4	gene1945	199	199	742	gene1945	2.01E-02	1.53E-01	1.54E-01	2.55E-01	1.79E-01	7.16E-02
NHMWOGOJDOJT_5	0.01	1.5	400	0.5	5	gene1945	199	199	742	gene1945	1.76E-02	7.03E-01	6.47E-01	-8.84E-02	1.93E-01	2.30E-02	bad-chisq
NHMWOGOJDOJT_7	0.01	1.5	400	0.5	7	gene1945	199	199	742	gene1945	1.76E-02	2.53E-01	3.39E-01	1.85E-01	1.94E-01	4.80E-02	bad-chisq
NHMWOGOJDOJT_8	0.01	1.5	400	0.5	8	gene1945	199	199	742	gene1945	2.01E-02	4.75E-01	4.76E-01	-1.28E-01	1.79E-01	3.58E-02	bad-chisq
NHMWOGOJDOJT_9	0.01	1.5	400	0.5	9	gene1945	199	199	742	gene1945	2.01E-02	4.75E-01	3.44E-01	1.72E-01	1.82E-01	4.76E-02	bad-chisq
NHMWOGOJDOJT_10	0.01	1.5	400	0.5	10	gene1945	199	199	742	gene1945	2.26E-02	7.36E-01	7.37E-01	-5.68E-02	1.69E-01	1.69E-02	bad-chisq
XFDQUEDMHPRU_1	0.01	1.5	500	0.5	1	gene1945	249	249	642	gene1945	2.81E-02	1.04E-01	1.04E-01	2.20E-01	1.35E-01	7.29E-02
XFDQUEDMHPRU_2	0.01	1.5	500	0.5	2	gene1945	249	249	642	gene1945	2.21E-02	7.60E-01	7.61E-01	4.65E-02	1.53E-01	1.37E-02
XFDQUEDMHPRU_3	0.01	1.5	500	0.5	3	gene1945	249	249	642	gene1945	2.01E-02	2.01E-01	2.02E-01	-2.04E-01	1.60E-01	5.73E-02
XFDQUEDMHPRU_4	0.01	1.5	500	0.5	4	gene1945	249	249	642	gene1945	2.61E-02	3.99E-01	4.11E-01	1.16E-01	1.41E-01	3.69E-02
XFDQUEDMHPRU_5	0.01	1.5	500	0.5	5	gene1945	249	249	642	gene1945	2.41E-02	2.42E-01	2.43E-01	-1.71E-01	1.46E-01	5.24E-02
XFDQUEDMHPRU_6	0.01	1.5	500	0.5	6	gene1945	249	249	642	gene1945	2.41E-02	2.42E-01	2.43E-01	1.71E-01	1.46E-01	5.24E-02
XFDQUEDMHPRU_7	0.01	1.5	500	0.5	7	gene1945	249	249	642	gene1945	3.01E-02	7.93E-01	7.94E-01	3.44E-02	1.31E-01	1.17E-02
XFDQUEDMHPRU_8	0.01	1.5	500	0.5	8	gene1945	249	249	642	gene1945	2.41E-02	5.59E-01	5.72E-01	8.31E-02	1.47E-01	2.54E-02
XFDQUEDMHPRU_9	0.01	1.5	500	0.5	9	gene1945	249	249	642	gene1945	1.81E-02	7.37E-01	6.55E-01	7.59E-02	1.70E-01	2.01E-02	bad-chisq
XFDQUEDMHPRU_10	0.01	1.5	500	0.5	10	gene1945	249	249	642	gene1945	2.81E-02	5.88E-01	5.89E-01	-7.35E-02	1.36E-01	2.43E-02
LIQKCQVMMAGU_1	0.01	1.5	600	0.5	1	gene1945	299	299	542	gene1945	2.01E-02	2.43E-01	2.44E-01	1.70E-01	1.46E-01	4.77E-02
LIQKCQVMMAGU_2	0.01	1.5	600	0.5	2	gene1945	299	299	542	gene1945	2.68E-02	6.12E-01	6.13E-01	-6.42E-02	1.27E-01	2.07E-02
LIQKCQVMMAGU_3	0.01	1.5	600	0.5	3	gene1945	299	299	542	gene1945	2.01E-02	2.43E-01	2.21E-01	1.79E-01	1.46E-01	5.01E-02
LIQKCQVMMAGU_4	0.01	1.5	600	0.5	4	gene1945	299	299	542	gene1945	2.68E-02	1.28E-01	1.29E-01	1.93E-01	1.27E-01	6.22E-02
LIQKCQVMMAGU_5	0.01	1.5	600	0.5	5	gene1945	299	299	542	gene1945	2.34E-02	5.89E-01	5.89E-01	7.31E-02	1.35E-01	2.21E-02
LIQKCQVMMAGU_6	0.01	1.5	600	0.5	6	gene1945	299	299	542	gene1945	2.51E-02	7.94E-01	7.94E-01	3.42E-02	1.31E-01	1.07E-02
LIQKCQVMMAGU_7	0.01	1.5	600	0.5	7	gene1945	299	299	542	gene1945	2.84E-02	4.60E-01	4.61E-01	-9.08E-02	1.23E-01	3.02E-02
LIQKCQVMMAGU_8	0.01	1.5	600	0.5	8	gene1945	299	299	542	gene1945	2.34E-02	2.79E-01	2.80E-01	-1.46E-01	1.35E-01	4.42E-02
LIQKCQVMMAGU_9	0.01	1.5	600	0.5	9	gene1945	299	299	542	gene1945	2.17E-02	7.79E-01	7.80E-01	3.93E-02	1.40E-01	1.15E-02
LIQKCQVMMAGU_10	0.01	1.5	600	0.5	10	gene1945	299	299	542	gene1945	2.68E-02	3.11E-01	2.07E-01	1.60E-01	1.27E-01	5.17E-02
GGNYCSNNJDWE_1	0.01	1.5	700	0.5	1	gene1945	349	349	442	gene1945	2.01E-02	1.05E-01	1.07E-01	-2.18E-01	1.35E-01	6.11E-02
GGNYCSNNJDWE_2	0.01	1.5	700	0.5	2	gene1945	349	349	442	gene1945	2.29E-02	1.29E-01	1.30E-01	1.92E-01	1.26E-01	5.74E-02
GGNYCSNNJDWE_3	0.01	1.5	700	0.5	3	gene1945	349	349	442	gene1945	2.29E-02	6.13E-01	6.14E-01	6.40E-02	1.27E-01	1.91E-02
GGNYCSNNJDWE_4	0.01	1.5	700	0.5	4	gene1945	349	349	442	gene1945	2.58E-02	6.33E-01	6.34E-01	-5.70E-02	1.20E-01	1.81E-02
GGNYCSNNJDWE_5	0.01	1.5	700	0.5	5	gene1945	349	349	442	gene1945	2.29E-02	6.13E-01	6.14E-01	6.40E-02	1.27E-01	1.91E-02
GGNYCSNNJDWE_6	0.01	1.5	700	0.5	6	gene1945	349	349	442	gene1945	2.44E-02	8.06E-01	7.96E-01	-3.19E-02	1.23E-01	9.82E-03
GGNYCSNNJDWE_7	0.01	1.5	700	0.5	7	gene1945	349	349	442	gene1945	2.58E-02	6.33E-01	6.40E-01	-5.60E-02	1.20E-01	1.77E-02
GGNYCSNNJDWE_8	0.01	1.5	700	0.5	8	gene1945	349	349	442	gene1945	2.15E-02	6.77E-02	5.91E-02	2.49E-01	1.32E-01	7.15E-02
GGNYCSNNJDWE_9	0.01	1.5	700	0.5	9	gene1945	349	349	442	gene1945	2.87E-02	6.95E-02	6.97E-02	-2.06E-01	1.13E-01	6.87E-02
GGNYCSNNJDWE_10	0.01	1.5	700	0.5	10	gene1945	349	349	442	gene1945	2.58E-02	3.39E-01	3.40E-01	1.14E-01	1.19E-01	3.62E-02
MVWOQBBGBTZH_1	0.01	1.5	800	0.5	1	gene1945	399	399	342	gene1945	2.63E-02	5.07E-01	5.08E-01	-7.34E-02	1.11E-01	2.35E-02
MVWOQBBGBTZH_2	0.01	1.5	800	0.5	2	gene1945	399	399	342	gene1945	2.63E-02	5.07E-01	5.08E-01	-7.34E-02	1.11E-01	2.35E-02
MVWOQBBGBTZH_4	0.01	1.5	800	0.5	4	gene1945	399	399	342	gene1945	2.26E-02	3.40E-01	3.41E-01	1.14E-01	1.19E-01	3.38E-02
MVWOQBBGBTZH_5	0.01	1.5	800	0.5	5	gene1945	399	399	342	gene1945	2.63E-02	2.69E-01	2.69E-01	-1.22E-01	1.11E-01	3.91E-02
MVWOQBBGBTZH_6	0.01	1.5	800	0.5	6	gene1945	399	399	342	gene1945	2.26E-02	6.33E-01	5.55E-01	7.08E-02	1.20E-01	2.09E-02
MVWOQBBGBTZH_7	0.01	1.5	800	0.5	7	gene1945	399	399	342	gene1945	2.38E-02	8.16E-01	8.17E-01	2.70E-02	1.16E-01	8.22E-03
MVWOQBBGBTZH_8	0.01	1.5	800	0.5	8	gene1945	399	399	342	gene1945	2.76E-02	6.65E-01	6.66E-01	-4.67E-02	1.08E-01	1.53E-02
MVWOQBBGBTZH_9	0.01	1.5	800	0.5	9	gene1945	399	399	342	gene1945	1.88E-02	7.94E-01	7.95E-01	-3.40E-02	1.30E-01	9.23E-03
MVWOQBBGBTZH_10	0.01	1.5	800	0.5	10	gene1945	399	399	342	gene1945	2.63E-02	8.25E-01	8.25E-01	-2.45E-02	1.11E-01	7.83E-03
VKUOWPWKIAJM_1	0.01	1.5	900	0.5	1	gene1945	449	449	242	gene1945	2.56E-02	5.26E-01	5.27E-01	-6.69E-02	1.06E-01	2.11E-02
VKUOWPWKIAJM_2	0.01	1.5	900	0.5	2	gene1945	449	449	242	gene1945	2.56E-02	2.91E-01	2.91E-01	1.12E-01	1.06E-01	3.52E-02
VKUOWPWKIAJM_4	0.01	1.5	900	0.5	4	gene1945	449	449	242	gene1945	2.56E-02	8.33E-01	7.53E-01	-3.35E-02	1.06E-01	1.05E-02
VKUOWPWKIAJM_5	0.01	1.5	900	0.5	5	gene1945	449	449	242	gene1945	2.45E-02	6.66E-01	6.95E-01	4.26E-02	1.09E-01	1.31E-02
VKUOWPWKIAJM_7	0.01	1.5	900	0.5	7	gene1945	449	449	242	gene1945	2.56E-02	5.26E-01	5.27E-01	6.69E-02	1.06E-01	2.11E-02
VKUOWPWKIAJM_8	0.01	1.5	900	0.5	8	gene1945	449	449	242	gene1945	2.56E-02	5.26E-01	6.50E-01	4.88E-02	1.07E-01	1.52E-02
VKUOWPWKIAJM_9	0.01	1.5	900	0.5	9	gene1945	449	449	242	gene1945	2.56E-02	8.33E-01	8.57E-01	-1.93E-02	1.07E-01	6.02E-03
VKUOWPWKIAJM_10	0.01	1.5	900	0.5	10	gene1945	449	449	242	gene1945	2.45E-02	3.09E-02	3.02E-02	2.34E-01	1.08E-01	7.23E-02
JWUQPZHNJQDL_1	0.01	1.5	1000	0.5	1	gene1945	499	499	142	gene1945	2.40E-02	6.79E-01	7.30E-01	3.61E-02	1.05E-01	1.09E-02
JWUQPZHNJQDL_2	0.01	1.5	1000	0.5	2	gene1945	499	499	142	gene1945	2.51E-02	5.43E-01	5.44E-01	-6.15E-02	1.01E-01	1.92E-02
JWUQPZHNJQDL_3	0.01	1.5	1000	0.5	3	gene1945	499	499	142	gene1945	2.51E-02	5.43E-01	5.44E-01	6.15E-02	1.01E-01	1.92E-02
JWUQPZHNJQDL_4	0.01	1.5	1000	0.5	4	gene1945	499	499	142	gene1945	2.51E-02	3.11E-01	2.60E-01	-1.15E-01	1.02E-01	3.57E-02
JWUQPZHNJQDL_5	0.01	1.5	1000	0.5	5	gene1945	499	499	142	gene1945	2.51E-02	5.43E-01	6.16E-01	5.14E-02	1.02E-01	1.59E-02
JWUQPZHNJQDL_6	0.01	1.5	1000	0.5	6	gene1945	499	499	142	gene1945	2.51E-02	3.11E-01	3.12E-01	-1.03E-01	1.01E-01	3.21E-02
