HS11286.2	HS11286:382-822
HS11286.4	HS11286:922-1380
HS11286.6	HS11286:1532-2524
HS11286.8	HS11286:2528-3976
HS11286.10	HS11286:3973-5472
HS11286.12	HS11286:5690-7558
HS11286.14	HS11286:7744-8163
HS11286.16	HS11286:8174-9679
HS11286.18	HS11286:9685-10650
HS11286.20	HS11286:10678-11568
HS11286.22	HS11286:11669-12601
HS11286.24	HS11286:12614-13597
HS11286.26	HS11286:13594-14991
HS11286.28	HS11286:15004-15705
HS11286.30	HS11286:16189-17714
HS11286.32	HS11286:18065-20963
HS11286.34	HS11286:21065-21179
HS11286.36	HS11286:21377-21883
HS11286.38	HS11286:21880-22461
HS11286.40	HS11286:22533-22802
HS11286.42	HS11286:22878-23864
HS11286.44	HS11286:23892-24515
HS11286.46	HS11286:24563-25462
HS11286.48	HS11286:25973-28651
HS11286.50	HS11286:28999-29631
HS11286.52	HS11286:30215-30721
HS11286.54	HS11286:30910-32283
HS11286.56	HS11286:32540-33949
HS11286.58	HS11286:33958-35007
HS11286.60	HS11286:35196-36605
HS11286.62	HS11286:36662-36823
HS11286.64	HS11286:36984-38807
HS11286.66	HS11286:38943-39542
HS11286.68	HS11286:39536-40396
HS11286.70	HS11286:40393-40830
HS11286.72	HS11286:40815-41816
HS11286.74	HS11286:41830-42747
HS11286.76	HS11286:42952-43194
HS11286.78	HS11286:43194-43577
HS11286.80	HS11286:43751-44680
HS11286.82	HS11286:44677-45312
HS11286.84	HS11286:45309-46211
HS11286.86	HS11286:46224-48638
HS11286.88	HS11286:48687-49274
HS11286.90	HS11286:49431-50267
HS11286.92	HS11286:50396-50608
HS11286.94	HS11286:51011-51991
HS11286.96	HS11286:52003-52317
HS11286.98	HS11286:52310-53677
HS11286.100	HS11286:53664-54506
HS11286.102	HS11286:54565-54834
HS11286.104	HS11286:54844-55281
HS11286.106	HS11286:55278-55871
HS11286.108	HS11286:55868-56191
HS11286.110	HS11286:56191-56769
HS11286.112	HS11286:56896-57498
HS11286.114	HS11286:57586-58581
HS11286.116	HS11286:58697-60820
HS11286.118	HS11286:60862-62127
HS11286.120	HS11286:62165-62479
HS11286.122	HS11286:62476-63624
HS11286.124	HS11286:63714-64718
HS11286.126	HS11286:64715-65722
HS11286.128	HS11286:65719-67230
HS11286.130	HS11286:67376-68362
HS11286.132	HS11286:68444-69274
HS11286.134	HS11286:69424-70683
HS11286.136	HS11286:70680-72146
HS11286.138	HS11286:72457-73293
HS11286.140	HS11286:73367-74212
HS11286.142	HS11286:74245-75279
HS11286.144	HS11286:75569-76189
HS11286.146	HS11286:76262-76936
HS11286.148	HS11286:77004-78365
HS11286.150	HS11286:78374-79072
HS11286.152	HS11286:79222-79725
HS11286.154	HS11286:79884-80786
HS11286.156	HS11286:80983-81945
HS11286.158	HS11286:82007-82354
HS11286.160	HS11286:82585-83505
HS11286.162	HS11286:83575-84909
HS11286.164	HS11286:84919-85449
HS11286.166	HS11286:85541-86395
HS11286.168	HS11286:86603-87631
HS11286.170	HS11286:87621-87752
HS11286.172	HS11286:87782-89977
HS11286.174	HS11286:90293-90442
HS11286.176	HS11286:90544-90861
HS11286.178	HS11286:91129-92289
HS11286.180	HS11286:92292-94724
HS11286.182	HS11286:94699-95835
HS11286.184	HS11286:95974-97530
HS11286.186	HS11286:97568-97939
HS11286.188	HS11286:98031-98939
HS11286.190	HS11286:99168-100055
HS11286.192	HS11286:100199-101080
HS11286.194	HS11286:101144-102247
HS11286.196	HS11286:102302-102964
HS11286.198	HS11286:103170-104156
HS11286.200	HS11286:104181-104831
HS11286.202	HS11286:104875-107526
HS11286.204	HS11286:107785-108936
HS11286.206	HS11286:109050-110054
HS11286.208	HS11286:110064-110837
