CP003351.2	CP003351:1-1335
CP003351.4	CP003351:1533-2663
CP003351.6	CP003351:2826-3134
CP003351.8	CP003351:3121-4245
CP003351.10	CP003351:4242-6188
CP003351.12	CP003351:6208-8679
CP003351.14	CP003351:8915-9214
CP003351.16	CP003351:9264-9776
CP003351.18	CP003351:9802-10038
CP003351.20	CP003351:10056-10160
CP003351.22	CP003351:10181-10726
CP003351.24	CP003351:10753-10947
CP003351.26	CP003351:10937-11290
CP003351.28	CP003351:11392-12939
CP003351.30	CP003351:13047-14507
CP003351.32	CP003351:14513-14965
CP003351.34	CP003351:15239-16606
CP003351.36	CP003351:17386-18678
CP003351.38	CP003351:19238-19774
CP003351.40	CP003351:19771-20577
CP003351.42	CP003351:20579-21592
CP003351.44	CP003351:22355-23218
CP003351.46	CP003351:23347-24969
CP003351.48	CP003351:25218-25739
CP003351.50	CP003351:25925-27655
CP003351.52	CP003351:27820-28638
CP003351.54	CP003351:28741-28938
CP003351.56	CP003351:29107-29685
CP003351.58	CP003351:29780-29917
CP003351.60	CP003351:30730-31233
CP003351.62	CP003351:31592-32617
CP003351.64	CP003351:32955-33818
CP003351.66	CP003351:35298-35675
CP003351.68	CP003351:35769-35999
CP003351.70	CP003351:36013-36219
CP003351.72	CP003351:36399-36770
CP003351.74	CP003351:37044-37736
CP003351.76	CP003351:37739-38524
CP003351.78	CP003351:38761-40161
CP003351.80	CP003351:40186-40503
CP003351.82	CP003351:40516-42189
CP003351.84	CP003351:42203-43834
CP003351.86	CP003351:44706-45896
CP003351.88	CP003351:46030-48219
CP003351.90	CP003351:48216-49466
CP003351.92	CP003351:49545-50147
CP003351.94	CP003351:50601-51080
CP003351.96	CP003351:51280-51594
CP003351.98	CP003351:51615-51992
CP003351.100	CP003351:52002-52775
CP003351.102	CP003351:52797-54200
CP003351.104	CP003351:54382-55566
CP003351.106	CP003351:55563-55853
CP003351.108	CP003351:55850-56071
CP003351.110	CP003351:56131-56892
CP003351.112	CP003351:56953-57453
CP003351.114	CP003351:57509-58147
CP003351.116	CP003351:58219-58614
CP003351.118	CP003351:58598-61051
CP003351.120	CP003351:61048-63075
CP003351.122	CP003351:63072-64094
CP003351.124	CP003351:64111-65040
CP003351.126	CP003351:65417-66220
CP003351.128	CP003351:66407-66691
CP003351.130	CP003351:66698-68650
CP003351.132	CP003351:68722-69219
CP003351.134	CP003351:69449-70621
CP003351.136	CP003351:70965-71318
CP003351.138	CP003351:71849-72271
CP003351.140	CP003351:72268-72498
