gene0	Chromosome:1-1524
gene1	Chromosome:2052-3260
gene2	Chromosome:3280-4437
gene3	Chromosome:4434-4997
gene4	Chromosome:5240-7267
gene5	Chromosome:7302-9818
gene6	Chromosome:9914-10828
gene7	Chromosome:10887-10960
gene8	Chromosome:11112-11184
gene9	Chromosome:11874-12311
gene10	Chromosome:12468-13016
gene11	Chromosome:13133-13558
gene12	Chromosome:13714-13995
gene13	Chromosome:14089-14877
gene14	Chromosome:14914-15612
gene15	Chromosome:15590-17470
gene16	Chromosome:17467-18762
gene17	Chromosome:18759-20234
gene18	Chromosome:20231-21640
gene19	Chromosome:21637-23181
gene20	Chromosome:23270-23737
gene21	Chromosome:23861-25444
gene22	Chromosome:25644-25726
gene23	Chromosome:25913-26881
gene24	Chromosome:27023-27442
gene25	Chromosome:27595-28365
gene26	Chromosome:28362-29207
gene27	Chromosome:29245-29607
gene28	Chromosome:29722-31068
gene29	Chromosome:31189-31506
gene30	Chromosome:31514-31819
gene31	Chromosome:32057-33154
gene32	Chromosome:33224-33553
gene33	Chromosome:34295-36610
gene34	Chromosome:36607-36870
gene35	Chromosome:36867-37262
gene36	Chromosome:37259-38947
gene37	Chromosome:39056-39829
gene38	Chromosome:39877-41202
gene39	Chromosome:41304-41912
gene40	Chromosome:42004-42351
gene41	Chromosome:42433-43365
gene42	Chromosome:43562-46471
gene43	Chromosome:46581-47207
gene44	Chromosome:47366-48100
gene45	Chromosome:48233-49027
gene46	Chromosome:49043-49939
gene47	Chromosome:50021-51124
gene48	Chromosome:51185-51727
gene49	Chromosome:51828-52697
gene50	Chromosome:52831-53244
gene51	Chromosome:53663-55699
gene52	Chromosome:55696-57378
gene53	Chromosome:57410-57973
gene54	Chromosome:58192-58482
gene55	Chromosome:58586-59080
gene56	Chromosome:59122-59376
gene57	Chromosome:59409-59867
gene58	Chromosome:59896-60417
gene59	Chromosome:60396-63020
gene60	Chromosome:63200-63892
gene61	Chromosome:63909-64967
gene62	Chromosome:65012-65350
gene63	Chromosome:65552-66694
gene64	Chromosome:66923-68362
gene65	Chromosome:68418-68579
gene66	Chromosome:68620-71559
gene67	Chromosome:71589-71828
gene68	Chromosome:71821-72222
gene69	Chromosome:72274-74511
gene70	Chromosome:74629-75198
gene71	Chromosome:75301-76212
gene72	Chromosome:76237-77622
gene73	Chromosome:77619-78896
gene74	Chromosome:79486-80193
gene75	Chromosome:80624-81673
gene76	Chromosome:81676-82668
gene77	Chromosome:82748-83983
gene78	Chromosome:83996-85168
gene79	Chromosome:85183-85572
gene80	Chromosome:85636-86466
gene81	Chromosome:86528-87133
gene82	Chromosome:87208-87801
gene83	Chromosome:87798-88004
gene84	Chromosome:88204-89025
gene85	Chromosome:89022-89480
gene86	Chromosome:89575-89919
gene87	Chromosome:89924-90403
gene88	Chromosome:90400-92322
gene89	Chromosome:92328-93278
gene90	Chromosome:93289-93951
gene91	Chromosome:93951-95417
gene92	Chromosome:95414-96892
gene93	Chromosome:96927-97601
gene94	Chromosome:97758-98351
gene95	Chromosome:98480-99250
gene96	Chromosome:99684-100451
gene97	Chromosome:100583-102868
gene98	Chromosome:102815-103663
gene99	Chromosome:103710-104663
gene100	Chromosome:104805-105215
gene101	Chromosome:105324-106715
gene102	Chromosome:106734-107603
gene103	Chromosome:107600-108151
gene104	Chromosome:108156-109778
gene105	Chromosome:109783-110019
gene106	Chromosome:110001-117539
gene107	Chromosome:117714-119699
gene108	Chromosome:119915-122173
gene109	Chromosome:122317-123831
gene110	Chromosome:123980-124264
gene111	Chromosome:124374-125570
gene112	Chromosome:125643-130541
gene113	Chromosome:130895-131104
gene114	Chromosome:131382-132872
gene115	Chromosome:133020-133769
gene116	Chromosome:133950-136007
gene117	Chromosome:136289-137245
gene118	Chromosome:137319-137909
gene119	Chromosome:137941-138513
gene120	Chromosome:138513-139673
gene121	Chromosome:139956-140144
gene122	Chromosome:140267-141022
gene123	Chromosome:141200-142144
gene124	Chromosome:142128-143876
gene125	Chromosome:144049-145626
gene126	Chromosome:145627-147771
gene127	Chromosome:147908-148342
gene128	Chromosome:148491-148859
gene129	Chromosome:148856-149224
gene130	Chromosome:149533-150996
gene131	Chromosome:151148-152215
gene132	Chromosome:152324-154129
gene133	Chromosome:154232-155599
gene134	Chromosome:155667-156446
gene135	Chromosome:156578-157600
gene136	Chromosome:157847-158302
gene137	Chromosome:158315-159658
gene138	Chromosome:159700-160782
gene139	Chromosome:160869-161474
gene140	Chromosome:161771-162673
gene141	Chromosome:162644-163249
gene142	Chromosome:163366-164691
gene143	Chromosome:164712-165260
gene144	Chromosome:165323-165826
gene145	Chromosome:165827-166849
gene146	Chromosome:166910-167290
gene147	Chromosome:167271-167681
gene148	Chromosome:167711-168637
gene149	Chromosome:168704-170182
gene150	Chromosome:170284-171126
gene151	Chromosome:171215-172168
gene152	Chromosome:172211-173143
gene153	Chromosome:173238-174758
gene154	Chromosome:174833-175693
gene155	Chromosome:175700-176668
gene156	Chromosome:176665-176952
gene157	Chromosome:177543-179309
gene158	Chromosome:179319-180896
gene159	Chromosome:181155-181985
gene160	Chromosome:181987-183198
gene161	Chromosome:183622-184722
gene162	Chromosome:184723-185055
gene163	Chromosome:185052-186479
gene164	Chromosome:186495-186623
gene165	Chromosome:186785-187429
gene166	Chromosome:187433-188839
gene167	Chromosome:188931-190439
gene168	Chromosome:190607-191956
gene169	Chromosome:191984-193135
gene170	Chromosome:193117-193572
gene171	Chromosome:193626-194111
gene172	Chromosome:194144-194815
gene173	Chromosome:194993-196657
gene174	Chromosome:196861-197658
gene175	Chromosome:197660-198529
gene176	Chromosome:198534-199898
gene177	Chromosome:199895-200935
gene178	Chromosome:200932-202479
gene179	Chromosome:202476-204068
gene180	Chromosome:204065-205237
gene181	Chromosome:205231-206778
gene182	Chromosome:206814-207455
gene183	Chromosome:207452-208420
gene184	Chromosome:208417-208971
gene185	Chromosome:208938-209672
gene186	Chromosome:209703-210812
gene187	Chromosome:210892-212250
gene188	Chromosome:212277-213011
gene189	Chromosome:213028-214140
gene190	Chromosome:214088-214927
gene191	Chromosome:214969-215718
gene192	Chromosome:215715-216224
gene193	Chromosome:216269-218344
gene194	Chromosome:218390-218551
gene195	Chromosome:218705-219367
gene196	Chromosome:219486-219917
gene197	Chromosome:219996-221723
gene198	Chromosome:221871-222161
gene199	Chromosome:222289-223530
gene200	Chromosome:223564-224664
gene201	Chromosome:224724-226571
gene202	Chromosome:226878-230462
gene203	Chromosome:230899-231534
gene204	Chromosome:231647-232231
gene205	Chromosome:232231-234519
gene206	Chromosome:234516-236507
gene207	Chromosome:236550-237209
gene208	Chromosome:237206-237895
gene209	Chromosome:237892-238395
gene210	Chromosome:238392-241292
gene211	Chromosome:241514-241924
gene212	Chromosome:241976-243214
gene213	Chromosome:243384-244487
gene214	Chromosome:244484-247318
gene215	Chromosome:247384-248112
gene216	Chromosome:248115-248906
gene217	Chromosome:249038-250123
gene218	Chromosome:250120-251598
gene219	Chromosome:251782-253602
gene220	Chromosome:253669-254640
gene221	Chromosome:254637-255950
gene222	Chromosome:256064-257677
gene224	Chromosome:258913-259926
gene225	Chromosome:259923-260831
gene226	Chromosome:260924-262252
gene227	Chromosome:262254-262802
gene228	Chromosome:262812-264023
gene229	Chromosome:264067-265476
gene230	Chromosome:265507-266295
gene231	Chromosome:266301-267764
gene232	Chromosome:267863-268627
gene233	Chromosome:268663-269817
gene234	Chromosome:269834-271564
gene235	Chromosome:271574-272839
gene236	Chromosome:273055-274278
gene237	Chromosome:274306-274986
gene238	Chromosome:274983-275963
gene239	Chromosome:276058-277764
gene240	Chromosome:277899-278588
gene241	Chromosome:278585-279529
gene242	Chromosome:279605-281140
gene243	Chromosome:281166-282614
gene244	Chromosome:282649-286851
gene245	Chromosome:286898-287071
gene246	Chromosome:287186-288352
gene247	Chromosome:288428-289042
gene248	Chromosome:289104-289337
gene249	Chromosome:289345-289782
gene250	Chromosome:289812-290654
gene251	Chromosome:290665-292029
gene252	Chromosome:292171-293493
gene253	Chromosome:293604-293705
gene254	Chromosome:293798-295633
gene255	Chromosome:296005-296493
gene256	Chromosome:296809-298119
gene257	Chromosome:298116-298862
gene258	Chromosome:298863-300803
gene259	Chromosome:300834-301655
gene260	Chromosome:301735-302028
gene261	Chromosome:302173-302652
gene262	Chromosome:302866-305427
gene263	Chromosome:305453-305809
gene264	Chromosome:305825-306349
gene265	Chromosome:306374-307858
gene266	Chromosome:307877-309547
gene267	Chromosome:309699-310073
gene268	Chromosome:310294-310749
gene269	Chromosome:310774-311517
gene270	Chromosome:311514-312659
gene271	Chromosome:312759-314168
gene272	Chromosome:314309-314854
gene273	Chromosome:314864-315766
gene274	Chromosome:315783-316415
gene275	Chromosome:316511-317503
gene276	Chromosome:317525-321154
gene277	Chromosome:321331-322722
gene278	Chromosome:322764-323273
gene279	Chromosome:323338-324531
gene280	Chromosome:324567-326249
gene281	Chromosome:326266-328461
gene282	Chromosome:328575-329708
gene283	Chromosome:329705-330325
gene284	Chromosome:330422-331003
gene285	Chromosome:330933-331658
gene286	Chromosome:331748-332668
gene287	Chromosome:332708-333136
gene289	Chromosome:333437-336310
gene290	Chromosome:336560-339073
gene291	Chromosome:339364-340974
gene292	Chromosome:340998-341906
gene293	Chromosome:342130-344025
gene294	Chromosome:344022-345638
gene295	Chromosome:345635-349627
gene296	Chromosome:349624-349932
gene297	Chromosome:349935-351476
gene298	Chromosome:351525-351818
gene299	Chromosome:351848-352138
gene300	Chromosome:352149-353036
gene301	Chromosome:353083-354501
gene302	Chromosome:354498-355883
gene303	Chromosome:355880-356875
gene304	Chromosome:356862-358064
gene305	Chromosome:358171-358956
gene306	Chromosome:358945-359748
gene307	Chromosome:359758-361155
gene308	Chromosome:361334-363109
gene309	Chromosome:363252-363479
gene310	Chromosome:363476-363778
gene311	Chromosome:363826-364047
